Date,Close_AMZN,Close_GOOGL,Close_META,Close_MSFT,Close_NVDA,High_AMZN,High_GOOGL,High_META,High_MSFT,High_NVDA,Low_AMZN,Low_GOOGL,Low_META,Low_MSFT,Low_NVDA,Open_AMZN,Open_GOOGL,Open_META,Open_MSFT,Open_NVDA,Volume_AMZN,Volume_GOOGL,Volume_META,Volume_MSFT,Volume_NVDA
2024-09-27,187.97,163.762,567.36,427.165,121.392,190.9,165.51,570.8399,430.987,124.021,187.34,162.44,564.51,426.616,119.252,190.68,162.624,570.1,430.658,123.961,36002316.0,21125490.0,9398367.0,14925947.690165,271027848.0
2024-09-26,191.16,162.544,567.84,430.448,124.031,194.53,163.892,577.4,434.43,127.656,189.54,162.094,562.3501,428.273,121.792,194.31,163.453,575.73,434.216,126.791,36334854.0,20342623.0,14400787.0,14521051.853503,302603717.0
2024-09-25,192.53,161.305,568.31,431.247,123.501,193.9498,162.624,576.88,432.254,124.931,192.16,161.115,563.72,427.714,121.602,193.75,161.285,564.05,428.971,122.012,26391144.0,18890824.0,16543350.0,13423178.696697,284712564.0
2024-09-24,193.96,162.104,563.33,428.313,120.862,195.37,163.029,567.745,432.484,121.792,190.13,160.506,554.19,425.249,115.372,194.27,162.843,566.68,432.135,116.507,43478926.0,23358887.0,12992956.0,17049813.412135,354991230.0
2024-09-23,193.88,161.665,564.41,432.644,116.252,194.45,165.301,573.9799,435.588,116.982,190.57,161.485,562.41,429.529,114.852,191.64,164.162,569.5,433.412,116.542,36993111.0,24178530.0,12830669.0,15159173.591868,206242699.0
2024-09-20,191.6,163.403,561.35,434.4,115.992,191.84,163.543,564.5,438.363,118.61,187.41,161.874,556.3001,433.353,115.382,190.23,163.313,560.0,436.347,117.052,100378553.0,40943308.0,22066817.0,55277530.680537,382488781.0
2024-09-19,189.87,161.954,559.1,437.814,117.862,190.99,163.603,562.07,440.618,119.652,188.47,161.155,546.52,436.027,117.242,190.04,163.523,550.0,440.344,117.342,39543168.0,26618204.0,15646951.0,21750007.714586,293526661.0
2024-09-18,186.43,159.627,537.95,429.949,113.362,188.8,160.316,544.2,435.159,117.692,185.06,158.413,533.9026,429.55,113.212,186.45,159.677,537.065,434.131,115.882,34448130.0,23704450.0,10323537.0,18935869.074899,310340319.0
2024-09-17,186.88,159.138,536.315,434.281,115.582,189.45,160.366,542.1,440.967,118.792,186.14,158.194,530.57,431.406,114.822,186.85,158.838,537.6,439.351,118.162,26091682.0,20739353.0,11690779.0,18912010.413851,231941856.0
2024-09-16,184.89,157.879,533.28,430.478,116.772,185.81,158.069,534.1,432.664,118.172,183.36,156.421,517.4,427.365,114.352,185.29,157.13,524.54,429.74,116.782,26065485.0,18400839.0,9527646.0,13862389.08152,248789449.0
2024-09-13,186.49,157.28,524.62,429.73,119.092,188.5,158.199,527.581,430.967,119.947,185.91,155.032,517.11,424.61,117.592,187.0,155.252,520.34,424.974,119.072,26495351.0,29625065.0,10321422.0,15906330.142683,238374751.0
2024-09-12,187.0,154.513,525.6,426.147,119.132,187.41,154.643,526.71,426.515,120.782,183.54,152.475,515.22,418.911,115.372,184.8,153.624,517.05,422.464,116.832,33622483.0,29729080.0,11993342.0,17453625.083023,367125790.0
2024-09-11,184.52,150.987,511.83,422.195,116.892,184.99,151.327,513.12,423.143,117.172,175.73,147.351,495.6,408.762,107.404,180.095,149.748,507.01,414.67,109.373,42564698.0,29641625.0,10782532.0,19305488.441827,441490548.0
2024-09-10,179.55,148.49,504.79,413.373,108.084,180.5,151.097,514.18,415.498,109.383,176.79,148.17,500.0278,406.886,104.934,177.49,150.278,508.16,407.385,107.794,36233796.0,31154429.0,9899022.0,19633507.706671,268325173.0
2024-09-09,175.4,148.54,504.79,404.91,106.454,175.85,153.224,511.33,407.834,106.534,173.51,147.046,502.08,401.347,103.674,174.53,152.335,506.16,406.426,104.864,29037362.0,39305446.0,11047828.0,15325749.35049,273954321.0
2024-09-06,171.39,150.547,500.27,400.898,102.814,178.38,157.441,524.5849,409.83,108.134,171.16,150.178,498.25,399.999,100.934,177.24,156.912,521.88,408.243,108.024,41466537.0,38005945.0,14744521.0,19648777.209662,413701985.0
2024-09-05,177.89,156.852,516.86,407.574,107.194,179.875,159.057,521.6295,412.275,109.633,174.995,155.596,511.15,405.319,104.744,175.0,155.914,511.72,406.806,104.969,40170526.0,18734993.0,8640888.0,14223930.311227,306898089.0
2024-09-04,173.33,156.064,512.74,408.083,106.194,175.98,158.607,516.59,410.418,113.252,172.54,155.577,504.07,403.562,104.104,174.48,156.268,506.07,405.099,105.394,30309225.0,19401650.0,8335207.0,15166102.433208,372527820.0
2024-09-03,176.25,156.971,511.76,408.622,107.984,178.26,161.451,525.49,419.041,116.192,175.26,156.094,508.6176,406.217,107.274,177.55,161.321,519.64,417.075,115.992,37817511.0,39041673.0,12459113.0,20354263.518278,477228797.0
2024-08-30,178.5,162.976,521.31,416.307,119.352,178.9,163.256,523.54,416.656,121.732,172.6,161.293,515.2,411.307,117.202,172.78,162.214,521.35,414.77,119.512,43429355.0,22178557.0,9157541.0,24356980.511221,333803131.0
2024-08-29,172.12,161.381,518.22,412.295,117.572,174.29,165.56,527.2,421.207,124.41,170.81,159.855,515.6789,409.78,116.692,173.22,163.904,519.05,414.111,121.337,26407815.0,19748515.0,8317424.0,17079359.434491,453093275.0
2024-08-28,170.8,162.448,516.78,409.78,125.59,173.69,165.192,521.085,414.171,128.31,168.92,161.129,512.45,406.496,122.622,173.69,164.627,517.675,414.051,128.1,29045025.0,16448045.0,9106077.0,14912449.726074,448170325.0
2024-08-27,173.12,164.274,519.1,413.013,128.28,174.89,166.032,524.01,413.532,129.18,172.25,164.054,515.31,409.43,123.86,174.15,165.425,518.98,412.035,125.03,29841979.0,11851194.0,6282720.0,13519918.949025,303181392.0
2024-08-26,175.5,165.75,521.12,412.664,126.44,177.4682,167.136,528.0,416.446,131.24,174.3,164.049,514.95,410.518,124.35,176.7,165.97,527.6,415.533,129.55,22366236.0,14225531.0,9584002.0,13179157.229326,332015944.0
2024-08-23,177.04,165.212,528.0,415.957,129.35,178.9699,165.77,539.87,418.422,129.58,175.24,163.426,525.06,411.267,125.2,177.34,164.314,536.92,416.147,125.84,29150091.0,13990275.0,11323936.0,18530801.895956,323280255.0
2024-08-22,176.13,163.396,531.93,414.72,123.72,181.47,167.176,544.23,425.937,130.73,175.68,162.907,528.59,413.782,123.081,181.38,166.847,537.0,423.512,130.0,32047482.0,22548935.0,15708292.0,19400656.553581,376247179.0
2024-08-21,180.11,165.44,535.16,423.293,128.48,182.385,166.438,539.4,425.548,129.33,178.8937,164.264,526.935,420.878,126.64,179.92,164.742,527.15,423.228,127.295,35599120.0,22958669.0,13423292.0,16099458.944762,257923402.0
2024-08-20,178.88,166.767,526.73,423.951,127.23,179.01,168.224,531.09,425.009,129.86,177.4308,166.408,525.88,420.798,125.87,177.92,166.488,528.35,420.858,128.38,26255204.0,18386920.0,7944391.0,16420383.035994,300133764.0
2024-08-19,178.22,166.258,529.28,420.688,129.98,178.3,166.278,531.66,420.907,129.98,176.16,163.854,522.76,415.628,123.4,177.64,164.872,526.87,418.123,124.26,31129807.0,22471654.0,9879713.0,15264449.896166,318382744.0
2024-08-16,177.06,162.558,527.42,417.634,124.56,178.34,164.652,533.66,420.498,124.98,176.2601,160.732,524.66,416.466,121.162,177.04,161.071,531.9,419.76,121.922,31489175.0,24268552.0,14776684.0,22821181.535695,302636607.0
2024-08-15,177.59,160.902,537.33,420.189,122.841,177.91,161.236,539.77,420.269,123.221,173.99,159.216,526.7,416.826,117.452,174.86,160.104,531.79,418.961,118.742,51698513.0,31602260.0,13482141.0,20793682.319441,318135802.0
2024-08-14,170.1,159.974,526.76,415.279,118.062,172.28,162.817,534.0,416.135,118.582,168.86,157.321,523.13,410.882,114.052,172.11,161.999,528.06,413.227,118.512,28843804.0,40691570.0,11444189.0,18336534.370003,339298804.0
2024-08-13,170.23,163.754,528.54,412.439,116.122,171.04,164.324,531.4999,413.376,116.212,167.1,162.568,518.15,408.016,111.562,167.81,163.006,520.01,408.036,112.422,39237915.0,18597597.0,13743839.0,19488193.859086,312694949.0
2024-08-12,166.8,161.889,515.95,405.267,109.003,168.55,164.492,518.02,407.21,111.052,166.1101,161.441,509.1,402.71,106.244,168.14,163.944,516.86,405.516,106.304,30072788.0,15934619.0,9767422.0,16826710.28653,325610153.0
2024-08-09,166.94,163.266,517.77,404.48,104.734,168.55,163.386,518.34,406.502,106.584,165.85,158.667,505.7,400.737,103.414,166.4,159.615,507.71,402.497,105.624,36401049.0,28673062.0,13696640.0,19350064.906628,290889078.0
2024-08-08,165.8,161.63,509.63,401.162,104.954,166.6899,163.286,509.96,404.321,105.484,162.55,159.815,494.72,398.423,97.505,165.165,160.113,497.5,400.914,101.984,44616206.0,25642135.0,16156843.0,20279956.181766,391970554.0
2024-08-07,162.77,158.547,488.92,396.919,98.8947,167.58,162.578,510.15,408.524,108.784,161.43,158.079,486.86,395.962,98.6748,166.55,160.852,503.13,407.085,107.794,48408240.0,25200779.0,20105307.0,20729537.539358,411503971.0
2024-08-06,161.93,157.899,494.09,398.094,104.234,165.08,160.173,502.56,404.131,107.694,158.5404,156.024,478.65,396.988,100.534,161.71,158.937,479.0,398.482,103.824,59950830.0,49125825.0,20954959.0,25041512.777407,409075262.0
2024-08-05,161.02,158.857,475.73,393.651,100.434,162.96,164.024,483.48,399.518,103.394,151.61,154.548,450.8,384.117,90.676,154.21,155.116,451.345,387.694,92.0458,83149437.0,53763384.0,21396191.0,40864244.760964,552927763.0
2024-08-02,167.9,166.248,488.14,406.94,107.254,168.77,168.094,501.145,413.425,108.704,160.55,164.264,476.15,402.807,101.354,166.75,166.029,489.0,410.925,103.744,141448365.0,29202185.0,24044658.0,29549989.3869,482101914.0
